Comment,Designator,Footprint,LCSC,Quantity
Conn_01x21_Socket,J5,PinHeader_1x21_P2.54mm_Vertical,,1
Conn_02x08_Odd_Even,J11,PinSocket_2x08_P2.54mm_Vertical,,1
Conn_01x21_Socket,J4,PinHeader_1x21_P2.54mm_Vertical,,1
Conn_02x08_Odd_Even,J10,PinSocket_2x08_P2.54mm_Vertical,,1
Conn_01x21_Socket,J1,PinHeader_1x21_P2.54mm_Vertical,,1
Conn_01x21_Socket,J3,PinHeader_1x21_P2.54mm_Vertical,,1
Conn_01x21_Socket,J2,PinHeader_1x21_P2.54mm_Vertical,,1
Conn_01x01_Pin,J8,PinSocket_1x01_P2.54mm_Vertical,,1
C,C20,C_Radial_D16.0mm_H25.0mm_P7.50mm,,1
C,C19,C_Radial_D16.0mm_H25.0mm_P7.50mm,,1
Conn_02x08_Odd_Even,J26,PinSocket_2x08_P2.54mm_Vertical,,1
Conn_01x21_Socket,J24,PinHeader_1x21_P2.54mm_Vertical,,1
Conn_01x02_Pin,J27,PinHeader_1x02_P2.54mm_Vertical,,1
Conn_01x02_Pin,J19,PinHeader_1x02_P2.54mm_Vertical,,1
Conn_01x02_Pin,J28,PinHeader_1x02_P2.54mm_Vertical,,1
Conn_02x08_Odd_Even,J16,PinSocket_2x08_P2.54mm_Vertical,,1
Conn_01x02_Pin,J18,PinHeader_1x02_P2.54mm_Vertical,,1
Conn_02x08_Odd_Even,J52,PinSocket_2x08_P2.54mm_Vertical,,1
Conn_02x08_Odd_Even,J20,PinSocket_2x08_P2.54mm_Vertical,,1
Conn_01x02_Pin,J17,PinHeader_1x02_P2.54mm_Vertical,,1
Conn_02x08_Odd_Even,J15,PinSocket_2x08_P2.54mm_Vertical,,1
Conn_02x08_Odd_Even,J29,PinSocket_2x08_P2.54mm_Vertical,,1
Conn_01x21_Socket,J22,PinHeader_1x21_P2.54mm_Vertical,,1
Conn_01x21_Socket,J21,PinHeader_1x21_P2.54mm_Vertical,,1
Conn_02x08_Odd_Even,J25,PinSocket_2x08_P2.54mm_Vertical,,1
Conn_01x21_Socket,J23,PinHeader_1x21_P2.54mm_Vertical,,1
